original,synthetic,label
MORE allegations against 'Buttman ' Affleck ...,"Ben Affleck has become the subject of shame and mockery after more allegations of groping emerged this week . <EOS> Affleck , who is about to appear as Batman for the second time in DC 's big-budget superhero film Justice League , has been called `` Buttman '' on social media since make-up artist Annamarie Tendler became the second woman to allege that he touched her . <EOS> <EOP> Days after condemning the actions of his former colleague Harvey Weinstein , who has been accused of three incidents of rape and countless accounts of sexual assault of young female stars , Affleck publicly apologised for touching actress Hilarie Burton live on camera in 2003 . <EOS> <EOP> The apology came after Burton admitted that she had not forgotten the incident : <EOS> ",0
Kexit ? Iraqi Kurdistan referendum explained,"Voters in parts of northern Iraq are due to head to the polls on Monday for an independence referendum . <EOS> <EOP> The only fly in the guacamole is our legislature . <EOS> Funding for the wall ( and it is a truly great wall , believe me ) has to be put into the yearly budget . <EOS> That budget has to be written and approved by the legislature . <EOS> But leadership in both the house and senate seem unwilling to budge in their opposition to adding an additional 70 billion dollars to that budget . <EOS> That ’ s 1.228 trillion pesos amigos . <EOS> That ’ s a passel of pesos . <EOS> <EOP> Home to six million Kurds , the Kurdistan region already has its own government . <EOS> <EOP> But now , after a long history of brutal repression , it wants to become an independent state . <EOS> <EOP> Iraq 's PM , the country 's neighbours and Western powers want the vote cancelled or postponed . <EOS> <EOP> BBC Arabic ’ s Radwa Gamal asked people in the regional capital , Irbil , why they want a Yes result . <EOS> <EOP> This is what it all comes down to . <EOS> The House and Senate will approve a budget and pass it on to the President . <EOS> He , in turn , either accepts the bill or sends it back to congress for further tweaking . <EOS> He also has the option of a flat out veto . <EOS> That means congress starts again from scratch . <EOS> In both the , send it back and veto scenarios , the bill goes unsigned and large portions of the government go unfunded and consequently shut down . <EOS> ",1
"Reminder : Whether or not Trump asked Rod Rosenstein for a recommendation , he did n't get one","Did President Trump ask Deputy Attorney General Rod Rosenstein to produce a recommendation that he fire former FBI Director James Comey ? <EOS> <EOP> When asked point blank by NBC 's Lester Holt on Thursday , Trump would n't say . <EOS> <EOP> But as speculation over whether the president worked with Rosenstein to materialize a justification for Comey 's firing ensues , it 's important to remember one key detail — whether or not Trump asked Rosenstein for a recommendation , he did n't get one . <EOS> <EOP> My colleague Phil Wegmann pointed out yesterday that Rosenstein 's memo never explicitly says Trump should fire Comey . <EOS> <EOP> Sure enough , Rosenstein 's letter laid out all the ways the FBI director had acted inappropriately , and at times implied that firing Comey would be best . <EOS> But here 's a point that seems to be getting lost : Rosenstein never explicitly recommended firing Comey . <EOS> <EOP> The three-page , thousand-word letter has widely been interpreted as a death sentence . <EOS> But after thoroughly trashing Comey 's handling of the Clinton email controversy , Rosenstein ends his overwhelming legal performance without a climax . <EOS> <EOP> Nevertheless , White House officials , including the president himself , have since referred to the memo repeatedly as a `` recommendation . '' <EOS> <EOP> The Wall Street Journal included a roundup of the most notable mentions in an article on Thursday afternoon : <EOS> <EOP> Asked Tuesday why Mr. Trump was firing Mr. Comey four months into his term , senior counselor Kellyanne Conway said : `` Well , I would point them to the three letters that were received today . '' <EOS> <EOP> Sarah Sanders , a White House spokeswoman , told Fox News on Tuesday that Mr. Trump had reacted after receiving a `` clear and direct and very strong recommendation from the deputy attorney general . '' <EOS> <EOP> Ms. Sanders , on MSNBC the following morning , said the reason for the dismissal was `` real simple ... <EOS> The deputy attorney general made a very strong recommendation . '' <EOS> <EOP> Wednesday morning , Vice President Mike Pence , speaking to reporters at the Capitol , repeatedly pointed to Mr. Rosenstein 's letter while describing the president 's decision . <EOS> <EOP> Whether or not it matters that Trump asked Rosenstein for a recommendation is a different debate , but it 's well worth remembering that he never got one . <EOS> <EOP> According to WSJ 's report , Rosenstein asked the White House to `` correct '' its `` depiction '' that Trump 's decision was made in direct response to the memo , something that was heavily implied in Trump 's original letter to Comey notifying him of his termination . <EOS> <EOP> The question now is why the White House is referring to Rosenstein 's memo as a recommendation when he seems to have deliberately stopped short of making it one . <EOS> ",0
Corporate America finally got on board to fight climate change . Then came Trump .,"President Trump has long talked about how he wants to run the federal government like a business . <EOS> Many of his Cabinet members came from the corporate world . <EOS> On matters ranging from health care to taxes , he routinely solicits the advice of his business associates . <EOS> <EOP> But when it comes to climate change , Trump has actively ignored corporate leaders ’ calls to reduce greenhouse gas emissions . <EOS> On Thursday afternoon , he announced his decision to pull out of the Paris climate deal — fulfilling a promise he made on the campaign trail , but breaking with some of the CEOs who have advised him . <EOS> At least one of those CEOs , Elon Musk , said he would quit Trump ’ s advisory council as a result . <EOS> <EOP> Many of America ’ s largest businesses and corporations have been vocal in their support for government policies meant to curb carbon emissions . <EOS> More than 60 Fortune 500 companies signed a letter to the administration urging Trump to “ re-affirm our deep commitment to addressing climate change ” by staying in the Paris agreement . <EOS> Industries that were once resistant to carbon emissions rules — such as the energy sector — have been investing more in renewable energy and natural gas production in recent years . <EOS> And big corporations that consume tons of electricity say renewable energy sources are more affordable than ever . <EOS> <EOP> But a smaller number of businesses — mostly US manufacturers and coal companies — have fiercely resisted the Paris deal , and their message apparently resonated more with Trump . <EOS> They said that forcing businesses to curb their use of fossil fuels will cost too much money and lead to layoffs . <EOS> <EOP> In the White House Rose Garden on Thursday , Trump echoed their language to describe the climate deal , saying it would lead to “ lost jobs , lower wages , shuttered factories , and vastly diminished economic production . ” <EOS> <EOP> Virginia Democrat Dan Helmer released arguably the WORST POLITICAL AD ever . <EOS> <EOP> Twenty years ago , US corporations were resistant to any suggestions to cut back on their consumption of fossil fuels . <EOS> Renewable energy sources were expensive and harder to find . <EOS> And scientific evidence that humans were making the planet warmer wasn ’ t as strong . <EOS> <EOP> That started to change in 2007 , when the United Nations Intergovernmental Panel on Climate Change published a groundbreaking report , authored by thousands of international scientists , showing overwhelming evidence that carbon emissions from human activity were increasing global temperatures . <EOS> <EOP> “ It ratcheted up the certainty of this being the issue , and we saw it as a real risk for our business , ” said Kevin Rabinovitch , global sustainability director for Mars Inc. , which owns brands like M & Ms , Skittles , and Pedigree pet food . <EOS> <EOP> Corporations that rely heavily on agriculture — including Mars — also started to see the direct effects of increasing droughts and unpredictable weather patterns . <EOS> Ruined cocoa and wheat crops caused prices to spike , and that affected the bottom line , says Rabinovitch . <EOS> Corporations began creating sustainability offices , like the one he runs , to find ways to reduce their carbon footprint . <EOS> They began investing more in wind power and other renewable energy sources . <EOS> Now it ’ s rare to find a Fortune 500 company that doesn ’ t have staff dedicated to sustainability issues . <EOS> <EOP> That change also reflects consumer preferences . <EOS> A majority of Americans now believe humans are responsible for global warming , and think the federal government should regulate greenhouse gas emissions . <EOS> Sustainability suddenly mattered to a lot more to people , so corporations had to address that as a way to attract the most talented workers . <EOS> <EOP> Tech companies such as Apple and Google have pledged to reduce their carbon footprint in recent years , and retailers like Walmart and Staples joined them in signing the letter urging Trump not to back out of the deal . <EOS> <EOP> In the end , they lost out to coal . <EOS> <EOP> Economists say pulling out of the Paris accord will do nothing to bring back manufacturing and coal jobs , but Trump couched his decision in the language of job creation . <EOS> He followed the lead of two of the largest manufacturing trade groups , the National Association of Manufacturers and the Industrial Energy Consumers of America , which said the goals of the Paris deal were too harsh and would cost too much for manufacturers . <EOS> <EOP> The IECA sent its own strongly worded letter to the administration in recent weeks . <EOS> The group warned that if energy costs rise — whether because of global markets or emissions regulations — manufacturers would move more jobs overseas . <EOS> <EOP> The liberal candidate sings about the Planned Parenthood abortion business and the Obamacare disaster . <EOS> <EOP> What a bizarre ad . <EOS> <EOP> “ To avoid the perverse and economically damaging consequences ... we must ensure that any climate policy does not tilt the playing field toward our global competitors and place the US at a competitive disadvantage , ” Paul Cicio , the IECA president , wrote Trump last month . <EOS> <EOP> Both groups declined to talk to Vox , and instead released statements praising Trump ’ s decision . <EOS> <EOP> “ As the President has acknowledged , certain elements of this deal were not equitable for U.S. manufacturers , ” wrote Ross Eisenberg , vice president of energy and resources policy for NAM . <EOS> “ We look forward to working with the President as he negotiates a better deal to address this international policy challenge . ” <EOS> <EOP> Then he promised that manufacturers would reduce greenhouse gas emissions on their own . <EOS> ",1
Gov ’ t Watchdog Ends Probe Of Zinke ’ s Threats To Senators Over O ’ Care Repeal Vote,"Unable to get either Alaska senator to spill the beans about allegations that a member of President Trump ’ s cabinet threatened funding to their state in order to secure their votes on a bill to repeal the Affordable Care Act , a government watchdog is closing his investigation into the matter . <EOS> <EOP> As the White House scrambled unsuccessfully in July to whip the votes for the health care repeal bill , Interior Secretary Ryan Zinke allegedly called both of Alaska ’ s Republican senators—Lisa Murkowski and Dan Sullivan—and communicated a “ troubling message ” about future federal dollars for their state if they didn ’ t fall in line . <EOS> <EOP> The ham-handed gambit backfired spectacularly . <EOS> Murkowski , who chairs the committee that controls the Interior Department ’ s budget and confirmation process , defiantly voted against the Obamacare repeal bill , noting that she is “ strong and independent ” and would not bow to intimidation . <EOS> <EOP> Though Murkowski and Zinke later made a show of making amends over a beer , other members of Congress found the episode disturbing , and demanded a federal inquiry . <EOS> <EOP> In a letter on Wednesday to the two House Democrats who demanded the probe , however , the Interior Department ’ s inspector general said that “ further investigation would be unproductive . ” <EOS> <EOP> “ Both Senators Murkowski and Sullivan declined to be interviewed or to provide statements regarding the matter , ” Deputy Inspector General Mary Kendall wrote . <EOS> “ The OIG does not believe that it could meaningfully investigate the matter further . ” <EOS> ",0
SoCal beach cities beset by mysterious nauseating odor ...,"A recurring foul odor that some residents say causes headaches and nausea is a serious issue and needs more focus , says a Huntington Beach city councilman who wants a special committee to be formed on the issue . <EOS> <EOP> Here is how the Supreme Court ’ s ruling is being reported by the Washington Times <EOS> <EOP> “ Not enough progress is being made to address the source of the odor , ” Councilman Billy O ’ Connell said in a statement proposing the item . <EOS> <EOP> The city said in a post last week on its website that the odor wasn ’ t believed to be “ an immediate life safety issue . ” <EOS> <EOP> The South Coast Air Quality Management District is leading an investigation . <EOS> <EOP> The agency ’ s website says that multiple sources in the area are capable of producing disagreeable odors and the periodic nature and varying location of complaints makes assessing the cause difficult . <EOS> SCAQMD spokesman Sam Atwood said last week that the analysis of complaints and wind directions points to an offshore source . <EOS> <EOP> The Huntington Beach Fire Department has also been working with the agency . <EOS> <EOP> Several residents showed up to a council meeting on Sept. 18 to request help from the city with the odor and complained of headaches , nausea and sore throats . <EOS> <EOP> Harrowing stories emerge after two massive rockfalls at Yosemite National Park <EOS> <EOP> Suspect in 1980 slaying of pregnant newlywed identified , police say <EOS> ",1
Hollywood Celebrates Expulsion ...,"Refresh for updates The decision today to expel producer Harvey Weinstein from the Academy of Motion Pictures Arts and Sciences was celebrated by many in Hollywood . <EOS> <EOP> After an emergency meeting by the board of governors , a statement was issued that said the era of “ willful ignorance ” was over and that conduct like that alleged about Weinstein has “ no place in our society . ” <EOS> <EOP> Even though he has been expelled from the Academy , Rose McGowan continues to speak out against Weinstein after being suspended from and leading a boycott from the social media platform . <EOS> <EOP> She also took to Instagram to post a video of herself with the caption , “ We slay dragons . ” <EOS> <EOP> Many , including Ronan Farrow who wrote The New Yorker expose on Weinstein , simply posted the announcement from the Academy Academy Award winner Marlee Matlin tweeted , “ Bravo to the @ TheAcademy . <EOS> And bravo to highlighting “ willful ignorance and complicity . <EOS> ' ” while former co-host of The View Jedediah Bila had one word for the news : “ Good . ” <EOS> <EOP> Here are some more comments from Hollywood and the Beltway so far . <EOS> Deadline will update them as they roll in : <EOS> ",0
Astronaut Peggy Whitson breaks new space record,"Peggy Whitson has broken the record for most days in space by a US astronaut . <EOS> <EOP> Dr Whitson already holds records for the most spacewalks carried out by a woman astronaut and is the first woman to command the International Space Station ( ISS ) twice . <EOS> <EOP> Now she 's beaten the record previously set by Jeff Williams , who had a total of 534 days in space . <EOS> <EOP> President Donald Trump and his daughter Ivanka have called Dr Whitson to congratulate her . <EOS> <EOP> The number of mature individuals is estimated to be 2,710-3,386 , but the assessment says that number may be considerably higher . <EOS> Still , the IUCN thinks the population is declining overall , even while it may be `` modestly increasing '' in some areas . <EOS> <EOP> A beetle called the emerald ash borer is wrecking havoc on North America 's ash trees . <EOS> Five out of the six most prominent species are listed as critically endangered , and the sixth is now listed as endangered . <EOS> <EOP> The beetle `` arrived in Michigan from Asia in the late 1990s via infested shipping pallets , '' the IUCN says , and is believed to be responsible for the destruction of millions of trees . <EOS> <EOP> The relentless destruction is likely to impact some 80 percent of the trees , which could `` dramatically change the composition of both wild and urban forests , '' Murphy Westwood , member of the IUCN Global Tree Specialist Group , said in a statement . <EOS> She adds that scientists are racing to try to find a way to stop the attack on trees . <EOS> <EOP> However , they 're up against serious obstacles — the IUCN says that rising temperatures are actually helping the beetle expand to new areas . <EOS> <EOP> The IUCN assessment also found that five antelope species from Africa are `` declining drastically as a result of poaching , habitat degradation and competition with domestic livestock . '' <EOS> That includes the giant eland , the largest antelope in the world . <EOS> <EOP> Inger Andersen , the director general of the IUCN , says species generally are declining at a rate that is difficult for scientists to keep up with . <EOS> `` Even those species that we thought were abundant and safe — such as antelopes in Africa or ash trees in the U.S. — now face an imminent threat of extinction . '' <EOS> <EOP> During their video chat between the White House and the International Space Station , President Trump started by telling Peggy Whitson that her achievement was a `` glorious day in the history of space flight '' . <EOS> <EOP> `` Today Commander Whitson , you have broken the record for the most total time spent in space by an American astronaut - 534 days and counting , '' he said . <EOS> <EOP> `` That 's an incredible record to break and on behalf of our nation , and frankly on behalf of the world , I 'd like to congratulate you . <EOS> That is really something . '' <EOS> <EOP> Donald Trump then asked Dr Whitson what she thought of her achievement . <EOS> <EOP> She replied : `` It 's actually a huge honour to break a record like this but it 's an honour for me to be representing all the folks at Nasa who make the space flight possible , who make me setting this record feasible . <EOS> <EOP> `` It 's a very exciting time to be at Nasa . <EOS> We 're excited about the missions to Mars in the 2030s . <EOS> We actually have hardware on the ground being built for the SLS rocket for the test flights , which will eventually take us there . <EOS> <EOP> `` I 'm so proud of the team . '' <EOS> <EOP> Replying to a question from President Trump on what they 're learning from being in orbit around Earth , Dr Whitson said they were studying the effects of deep space travel on the human body for the planned Mars missions and said water was a particular challenge . <EOS> <EOP> `` Right now we 're taking solar power , which we collect and are using it to break apart water into oxygen and hydrogen . <EOS> The oxygen we breath . <EOS> We use the hydrogen , combine it back with the CO2 that we take out of the air and make more water . <EOS> <EOP> `` But water is such a precious resource up here that we are also cleaning up our urine and making it drinkable - and it 's really not as bad as it sounds . '' <EOS> <EOP> Mr Trump replied : `` That 's good . <EOS> I 'm glad to hear that . <EOS> Better you than me . '' <EOS> <EOP> Earlier this month , Nasa astronaut Shane Kimbrough turned command of the ISS over to Dr Whitson . <EOS> <EOP> `` She will set another record at this moment , '' he said at the time . <EOS> <EOP> `` She now becomes the first two-time female commander of the International Space Station . <EOS> <EOP> `` The Space Station is in great hands with Peggy . '' <EOS> <EOP> At 57 , she is also the oldest woman to have gone to space . <EOS> <EOP> Dr Whitson already holds the record for longest time spent in space by a woman . <EOS> <EOP> Born in Iowa , she has an advanced degree in biochemistry and worked for Nasa in several prominent medical science and research positions , before being selected as an astronaut candidate in 1996 . <EOS> <EOP> She first went into space in 2002 and became the first woman to command the ISS in 2007 . <EOS> <EOP> The oldest person to go into space is John Glenn , who was also the first American to orbit Earth in 1962 . <EOS> He went back into space in 1998 aged 77 . <EOS> <EOP> He died last year at the age of 95 . <EOS> <EOP> Find us on Instagram at BBCNewsbeat and follow us on Snapchat , search for bbc_newsbeat <EOS> ",1
"Hunters , Fishermen Out in Force to Rescue Houston Flood Victims","Men to whom many often give little thought–men who are first in the duck blind on opening day or last off the lake during a late night of fishing–are now trolling their boats down flooded streets and byways , seeking out Houston residents who may remain trapped and/or in danger . <EOS> <EOP> At a time like this , the value of such men can not be exaggerated ; especially as they find the cold and wet , then lift them into their boats and deliver them to safety . <EOS> <EOP> USA Today reports that many such duck hunters and fishermen–and others possessing private boats–have come together under the auspices of the “ Cajun Navy ” to conduct rescues throughout the flooded Houston area . <EOS> This means “ guys with hunting boats , shallow draft duck hunting boats with mud motors , airboats , pirogues , [ and ] kayaks ” are all involved . <EOS> <EOP> The country is suddenly grateful for this “ Cajun Navy , ” for their know-how , for the fact that they can read a submerged log in the water , and haul their boats over tree stumps and levees and launch them from freeway junctions . <EOS> There are no regulators to check their fishing licenses or whether they have a fire extinguisher and life preservers on board , which they don ’ t . <EOS> They ’ re used to maneuvering through the cypress of Caddo Lake or the hydrilla and coontail of the Atchafalaya , where the water might be four feet or it might rise to 18 , and the stinking bog is called “ coffee grinds ” because of the way boots sink in it . <EOS> Spending hours in monsoon rains doesn ’ t bother them , because they know ducks don ’ t just show up on a plate , and they ’ ve learned what most of us haven ’ t , that dry comfort is not the only thing worth seeking . <EOS> <EOP> The Post also notes that the number of hunters and fishermen-turned-rescuers is so great that they outnumber the number of government rescuers in the Houston area . <EOS> And that point is not a negative reflection on government rescuers ; rather , it is a positive reflection on the burgeoning generosity and spirit of the American heart ; particularly the heart of the American hunter and fisherman . <EOS> <EOP> AWR Hawkins is the Second Amendment columnist for Breitbart News and host of Bullets with AWR Hawkins , a Breitbart News podcast . <EOS> He is also the political analyst for Armed American Radio . <EOS> Follow him on Twitter : @ AWRHawkins . <EOS> Reach him directly at awrhawkins @ breitbart.com . <EOS> ",0
Former Conservative leadership candidate Tub of Margarine renounces Rebel Media,"MELVILLE , SK – Former Conservative Party Leadership candidate and Tory MP-hopeful Tub of Margarine is distancing itself from Ezra Levant ’ s Rebel Media . <EOS> <EOP> The container filled with refined vegetable oil and water is made the announcement this morning in a Facebook post calling the right-wing media outlet a threat to tolerance and peace between edible spreads everywhere . <EOS> <EOP> “ My brief appearance on one of the programs with Ezra Levant was a discussion about butter substitutes and canola oil pipelines , ” clarified the Tub . <EOS> “ However , I believe Rebel Media has tarnished the conservative image . <EOS> I have always believed in peaceful co-existence between all spreads from jams and ketchups to butter and margarine . ” <EOS> <EOP> Officials at the Department of Homeland Security said that they did not think the agency needed a warrant to ask local jurisdictions to hold immigrants believed to be undocumented , and that they considered the detainers legally sufficient . <EOS> <EOP> The inanimate object said that certain Rebel contributors continue have deep-seated anti-hydrogenate and hummus-phobic views which is very disturbing , and have no place in the tolerant fridges of Canada . <EOS> <EOP> Sarah Rodriguez , a spokeswoman for ICE , confirmed the temporary suspension of the report , saying it would allow the agency to “ analyze and refine its reporting methodologies . ” <EOS> <EOP> The Tub of Margarine placed 12th in the leadership race with 2 % of the vote ahead of an angry ostrich and Deepak Obhrai . <EOS> <EOP> The Tub joins a growing number of Conservative MPs , MLAs , candidates , and right wing commentators who have suddenly realized that the Rebel is not some sort of practical , ongoing joke that has been publishing and broadcasting xenophobic tirades as news since it was founded in 2015 . <EOS> ",1
