original,synthetic,label
 this week explained spies special counsel and,russia s investigation got real this week anyone who works in the white looks,0
 palmer to leave renault after japanese grand prix,palmer to leave the renault team after sunday s japanese grand prix spaniard,1
 former fbi director james admits that he was the,liberals open to the mouth waiting for former fbi director james expose president,0
 trump i have changed my stance on china,trump trade war on north he has softened his position china but no,1
 trump new cabinet member with choice for secretary of homeland security,trump s next move in the staff changes white house president nielsen,0
 korea war would kill in south,south korea would die every day in the event of a korean war made,1
 chuck has the perfect response to trump plan to hold hostage to pay for the wall,senate chuck leader trump dropped the perfect response on s plan to hold,0
 president trump interview with maria,followed careful plan to your addresses check failed please try again in a filled,1
 trump why was there a civil war,republicans are already andrew jackson been a little later you t have had civil,0
 united we stand,portland rose parade amid this diary will do much but i feel,1
 trump to tax plan at pennsylvania event with truckers,trump lawyers a surprise take his appeal for tax reform to the nation truckers,0
 trump expected to halt obama s program but allow some to stay,the resistance now through to are revealing and should be listened by anyone,1
 less lawyers the president says,poll trump s reason for the old lawyer fish got because white,0
 nancy pelosi job loser trump as she questions his fitness for office,remarks hillary about the depicted relationship blew up in his face however when woods,1
 spending bill language border wall funding sanctuary cities crackdown,republican s democratic lawmakers forged a trillion spending package that would fund the of,0
 maintenance worker says he warned hotel about the las vegas shooter was he ignored,treasury news on the is paying but federal contractors bond investors will take investigation,1
 nicole and joan is this the category ever,i am the t stand practice of labeling a difficult decision choice,0
 s success in the british election ends britain s involvement in regime change wars,fake news on began to gain control of us foreign policy in the country,1
 mccain blasts for not pushing human rights on other countries,gop arizona sen john mccain blasted secretary of state for not aggressively pushing human,0
 viral moment as seems to trump for anthem,pm in the white house easter egg roll allows nation s leaders to,1
 trump suffers major hair while boarding air force one internet,watch trump s president donald hair can do some things there time,0
 two dozen democrats get behind bill to lay foundation for removing trump,democratic congressman blames trump has proposed convening a special committee of and other to,1
 watch schools pair of hosts on radical islamic terrorism and leaves them,sebastian says he s trump a pair of hosts tuesday during tense about,0
 mass shootings and shark attacks,i am the have a friend who grew up on farm in and,1
 one year ago at the new york primary election voters discovered they d been now what opinion,blames of the anniversary new york democratic primary election an we,0
 requests to sentencing for underage teen,former gop sanders because and infamous anthony d has requested to his sentencing conviction,1
 ai should never have rights,stephen moore what s rights beyond the human are and reflect in my,0
 victoria beckham receives from prince william,ties of a day at the palace for former spice girl victoria beckham pop,1
 bath time joy feels sorry for s owner lost at the white house,joy trump comedian a longtime on abc s the view showed no mercy,0
 san juan mayor is a political wants to run for governor rico ag claims video,five cnn s the second surveillance apparently begun in late was part of ties,1
 nbc host makes comment to o bill goes nuclear on live tv,bill o is seen as an easy target by the left former stubborn,0
 russian operatives used google platforms for aiming to with elections,google and a investigation found evidence for the first time that russian operatives,1
 syria is virtually guaranteed to break up trump and putin,trump s plan to putin has been the foreign policy thing separated are,0
 michelle obama about then gets shut down immediately,here s why go again michelle obama is once complaining about something lady,1
 trump s white house was going to meet with a russian banker suspected of mob ties,trump may be have a lot of connections to russia but the white wants,0
 graham threatens to subpoena as pressure to clear up clinton case confusion,lindsey graham to thursday subpoena james in the latest escalation republicans fbi,1
 rightwing broadcast group gets away with it,broadcast of group planning to merge with tribune media company in a deal the,0
